"ind","lat","lon","species","dbh"
"T_VIBACE_H13",42.46619803,-72.21352704,"VIBACE",""
"T_VIBACE_H14",42.46620901,-72.21362502,"VIBACE",""
"T_VIBACE_H15",42.466193,-72.21355403,"VIBACE",""
"T_VIBACE_H16",42.46616702,-72.21379903,"VIBACE",""
"S_ACEPEN_H04",NA,NA,"ACEPEN",""
"S_ACEPEN_H05",NA,NA,"ACEPEN",""
"S_ACEPEN_H06",NA,NA,"ACEPEN",""
"S_BETLEN_H04",NA,NA,"BETLEN",""
"S_CAROVA_H21",NA,NA,"CAROVA",""
"S_CORCOR_H01",NA,NA,"CORCOR",""
"S_CORCOR_H02",NA,NA,"CORCOR",""
"S_CORCOR_H03",NA,NA,"CORCOR",""
"S_CORCOR_H04",NA,NA,"CORCOR",""
"S_CORCOR_H07",NA,NA,"CORCOR",""
"S_CORCOR_H08",NA,NA,"CORCOR",""
"S_FAGGRA_H03",NA,NA,"FAGGRA",""
"S_HAMVIR_H03",NA,NA,"HAMVIR",""
"S_HAMVIR_H05",NA,NA,"HAMVIR",""
"S_HAMVIR_H06",NA,NA,"HAMVIR",""
"S_HAMVIR_H02",NA,NA,"HAMVIR",""
"S_ILEVER_H01",NA,NA,"ILEVER",""
"S_ILEVER_H02",NA,NA,"ILEVER",""
"S_ILEVER_H03",NA,NA,"ILEVER",""
"S_VIBACE_H03",NA,NA,"VIBACE",""
"S_VIBACE_H04",NA,NA,"VIBACE",""
"T_ACEPEN_H06",NA,NA,"ACEPEN",""
"T_ACEPEN_H07",NA,NA,"ACEPEN","1.2"
"T_ACEPEN_H08",NA,NA,"ACEPEN","1.6"
"T_ACEPEN_H14",NA,NA,"ACEPEN","1.7"
"T_ACEPEN_H15",NA,NA,"ACEPEN","1.9"
"T_ACESAC_H05",NA,NA,"ACESAC","3.9"
"T_ACESAC_H06",NA,NA,"ACESAC","8"
"T_ACESAC_H07",NA,NA,"ACESAC",""
"T_BETLEN_H08",NA,NA,"BETLEN","10.1"
"T_BETLEN_H09",NA,NA,"BETLEN","5.4"
"T_BETLEN_H10",NA,NA,"BETLEN","1.8"
"T_BETLEN_H14",NA,NA,"BETLEN","2.1"
"T_FAGGRA_H05",NA,NA,"FAGGRA",""
"T_FAGGRA_H06",NA,NA,"FAGGRA","3.5"
"T_FAGGRA_H07",NA,NA,"FAGGRA","6"
"T_HAMVIR_H08",NA,NA,"HAMVIR","1.4"
"T_HAMVIR_H09",NA,NA,"HAMVIR",""
"T_HAMVIR_H13",NA,NA,"HAMVIR","1.3"
"T_ILEVER_H01",NA,NA,"ILEVER","2.1"
"T_ILEVER_H02",NA,NA,"ILEVER","1.3"
"T_VIBACE_H01",NA,NA,"VIBACE",""
"T_VIBACE_H02",NA,NA,"VIBACE",""
"T_VIBACE_H03",NA,NA,"VIBACE",""
